Hs (m),log10(Hs),a (true),a (pred),log10(a_true),log10(a_pred),a / Hs^6
3.595409e+00,5.557483e-01,1.860669e-04,1.858556e-04,-3.730331e+00,-3.730824e+00,8.603715e-08
4.123919e+00,6.153102e-01,4.236821e-04,4.213672e-04,-3.372960e+00,-3.375339e+00,8.566425e-08
2.849066e+00,4.547026e-01,4.606748e-05,4.635557e-05,-4.336606e+00,-4.333898e+00,8.667357e-08
5.989671e+00,7.774029e-01,3.977377e-03,3.909160e-03,-2.400403e+00,-2.407917e+00,8.465756e-08
1.316875e+00,1.195445e-01,4.492067e-07,4.632006e-07,-6.347554e+00,-6.334231e+00,8.881822e-08
2.246461e+00,3.514989e-01,1.107064e-05,1.122403e-05,-4.955827e+00,-4.949851e+00,8.732840e-08
1.640229e+00,2.149045e-01,1.677284e-06,1.717549e-06,-5.775393e+00,-5.765091e+00,8.820268e-08
1.197298e+00,7.820214e-02,2.537419e-07,2.624366e-07,-6.595608e+00,-6.580976e+00,8.908643e-08
3.427948e+00,5.350343e-01,1.397607e-04,1.398132e-04,-3.854615e+00,-3.854452e+00,8.616728e-08
5.470954e+00,7.380631e-01,2.309712e-03,2.276618e-03,-2.636442e+00,-2.642710e+00,8.490078e-08
3.846887e+00,5.851094e-01,2.791488e-04,2.782356e-04,-3.554164e+00,-3.555587e+00,8.585315e-08
2.965489e+00,4.720963e-01,5.858102e-05,5.887260e-05,-4.232243e+00,-4.230087e+00,8.656365e-08
3.760236e+00,5.752151e-01,2.434837e-04,2.428624e-04,-3.613530e+00,-3.614640e+00,8.591515e-08
4.057271e+00,6.082340e-01,3.842232e-04,3.823206e-04,-3.415416e+00,-3.417572e+00,8.570846e-08
2.428792e+00,3.853903e-01,1.768157e-05,1.788230e-05,-4.752479e+00,-4.747577e+00,8.711277e-08
1.734610e+00,2.392017e-01,2.346335e-06,2.398407e-06,-5.629610e+00,-5.620077e+00,8.804655e-08
1.210466e+00,8.295256e-02,2.709534e-07,2.801410e-07,-6.567105e+00,-6.552623e+00,8.905562e-08
2.074563e+00,3.169267e-01,6.866558e-06,6.979279e-06,-5.163261e+00,-5.156189e+00,8.754886e-08
1.055156e+00,2.331682e-02,1.188721e-07,1.234387e-07,-6.924920e+00,-6.908549e+00,8.944380e-08
5.395592e+00,7.320391e-01,2.125267e-03,2.095739e-03,-2.672586e+00,-2.678663e+00,8.493814e-08
1.112347e+00,4.624010e-02,1.631623e-07,1.691472e-07,-6.787380e+00,-6.771735e+00,8.929439e-08
