========================================================================================================================
TABELA DE DADOS - VALIDAÇÃO
========================================================================================================================

      Hs (m)    log10(Hs)           a (true)           a (pred)  log10(a_true)  log10(a_pred)           a / Hs^6
------------------------------------------------------------------------------------------------------------------------
      3.5954       0.5557       1.860669e-04       1.858556e-04        -3.7303        -3.7308       8.603715e-08
      4.1239       0.6153       4.236821e-04       4.213672e-04        -3.3730        -3.3753       8.566425e-08
      2.8491       0.4547       4.606748e-05       4.635557e-05        -4.3366        -4.3339       8.667357e-08
      5.9897       0.7774       3.977377e-03       3.909160e-03        -2.4004        -2.4079       8.465756e-08
      1.3169       0.1195       4.492067e-07       4.632006e-07        -6.3476        -6.3342       8.881822e-08
      2.2465       0.3515       1.107064e-05       1.122403e-05        -4.9558        -4.9499       8.732840e-08
      1.6402       0.2149       1.677284e-06       1.717549e-06        -5.7754        -5.7651       8.820268e-08
      1.1973       0.0782       2.537419e-07       2.624366e-07        -6.5956        -6.5810       8.908643e-08
      3.4279       0.5350       1.397607e-04       1.398132e-04        -3.8546        -3.8545       8.616728e-08
      5.4710       0.7381       2.309712e-03       2.276618e-03        -2.6364        -2.6427       8.490078e-08
      3.8469       0.5851       2.791488e-04       2.782356e-04        -3.5542        -3.5556       8.585315e-08
      2.9655       0.4721       5.858102e-05       5.887260e-05        -4.2322        -4.2301       8.656365e-08
      3.7602       0.5752       2.434837e-04       2.428624e-04        -3.6135        -3.6146       8.591515e-08
      4.0573       0.6082       3.842232e-04       3.823206e-04        -3.4154        -3.4176       8.570846e-08
      2.4288       0.3854       1.768157e-05       1.788230e-05        -4.7525        -4.7476       8.711277e-08
      1.7346       0.2392       2.346335e-06       2.398407e-06        -5.6296        -5.6201       8.804655e-08
      1.2105       0.0830       2.709534e-07       2.801410e-07        -6.5671        -6.5526       8.905562e-08
      2.0746       0.3169       6.866558e-06       6.979279e-06        -5.1633        -5.1562       8.754886e-08
      1.0552       0.0233       1.188721e-07       1.234387e-07        -6.9249        -6.9085       8.944380e-08
      5.3956       0.7320       2.125267e-03       2.095739e-03        -2.6726        -2.6787       8.493814e-08
      1.1123       0.0462       1.631623e-07       1.691472e-07        -6.7874        -6.7717       8.929439e-08
      2.9881       0.4754       6.130792e-05       6.159832e-05        -4.2125        -4.2104       8.654288e-08
      1.4574       0.1636       8.254918e-07       8.484785e-07        -6.0833        -6.0714       8.853340e-08
      2.6104       0.4167       2.725321e-05       2.749971e-05        -4.5646        -4.5607       8.691404e-08
      5.2877       0.7233       1.882595e-03       1.857625e-03        -2.7252        -2.7310       8.499246e-08
      4.4908       0.6523       7.065234e-04       7.007685e-04        -3.1509        -3.1544       8.543334e-08
      1.5142       0.1802       1.038248e-06       1.065868e-06        -5.9837        -5.9723       8.842631e-08
      1.0720       0.0302       1.306979e-07       1.356508e-07        -6.8837        -6.8676       8.939902e-08
      2.4914       0.3964       2.059685e-05       2.081391e-05        -4.6862        -4.6816       8.704269e-08
      5.5058       0.7408       2.399370e-03       2.364515e-03        -2.6199        -2.6263       8.488367e-08
      3.0495       0.4842       6.927425e-05       6.955755e-05        -4.1594        -4.1577       8.648713e-08
      2.8601       0.4564       4.714744e-05       4.743645e-05        -4.3265        -4.3239       8.666296e-08
      5.7682       0.7610       3.172521e-03       3.121829e-03        -2.4986        -2.5056       8.475861e-08
      4.1782       0.6210       4.582803e-04       4.555874e-04        -3.3389        -3.3414       8.562880e-08
      5.8794       0.7693       3.557652e-03       3.498688e-03        -2.4488        -2.4561       8.470734e-08
